pc	X	O_opcode	B	p	semantic_note
703	8	13	27	24	
704	705	170	22	47	
705	705	158	744	24	
706	2	199	0	9	op199: R9 = cell_value(F[2])
707	1	199	0	11	op199: R11 = cell_value(F[1])
708	0	144	0	13	op144: R13 = {}
709	42	93	122	5	op93: R5 = t[709] + C[709]
710	3	67	5	0	
711	0	94	18	731	
712	0	166	0	0	op166: W = X[712] = 0
713	0	94	18	683	
714	0	166	0	0	op166: W = X[714] = 0
715	1	136	3	2	
716	1	199	0	3	op199: R3 = cell_value(F[1])
717	3	36	1	3	
718	1	22	3	0	
719	1	199	0	4	op199: R4 = cell_value(F[1])
720	6	160	4	2	
721	2	199	0	11	op199: R11 = cell_value(F[2])
722	1	199	0	13	op199: R13 = cell_value(F[1])
723	0	144	0	16	op144: R16 = {}
724	42	93	122	3	op93: R3 = t[724] + C[724]
725	5	67	3	0	
726	30	93	122	4	op93: R4 = t[726] + C[726]
727	0	94	18	745	
728	0	166	0	0	op166: W = X[728] = 0
729	1	88	0	2	
730	0	94	18	683	
731	0	166	0	0	op166: W = X[731] = 0
732	30	93	122	7	op93: R7 = t[732] + C[732]
733	0	95	5	2	
734	6	101	0	0	
735	4	127	0	1	
736	0	197	2	5	
737	0	0	8	38	
738	0	94	18	728	
739	0	166	0	0	op166: W = X[739] = 0
740	235	168	12	147	
741	165	84	250	210	
742	18	66	227	83	
743	0	94	18	714	
744	0	166	0	0	op166: W = X[744] = 0
745	739	158	714	24	
746	0	95	5	1	
747	6	127	0	0	
748	0	197	1	5	
749	0	0	8	31	
750	0	94	9	32	
751	0	94	18	712	
752	0	166	0	0	op166: W = X[752] = 0
942	26	147	26	24	op147: R24 = b[26]
